id,kategori,zorluk,soru_kisa,dogru_sik,jev_secimi,guven,sorunlu
02e6e6c4-a3e5-41b7-8e77-e8d4dc7e2a82,bilim,2,Soluk alırken diyafram ne yapar?,Kasılır ve alçalır,Kasılır ve alçalır,0.720,0
02e869fc-e727-42e7-b456-28d25dd7da95,edebiyat,3,'Ermiş' (The Prophet) adlı düzyazı şiir kitabının Lübnan asıllı yazarı kimdir?,Halil Cibran,Halil Cibran,0.760,0
02f43170-a0ed-4a3e-a6c8-cd58e46b74d8,tarih,4,Anadolu'da Karahanlılar hangi alanda ilk sayılır?,İlk Müslüman Türk devleti olma,İlk Müslüman Türk devleti olma,0.630,0
03059787-a935-48cf-b5f4-6d997aba7ad1,teknoloji,4,'Küçültme' (minify) neyi azaltır?,Dosya boyutunu,Renk sayısını,0.230,0
031057ed-843d-4aa8-bcff-7536bf059c93,spor,1,Sörf hangi doğal etkenden yararlanır?,Dalga,Rüzgâr gülü,0.060,0
02f40c1b-5a48-451b-8d7d-c6aad7f82533,spor,3,Buz hokeyinde vurulan diske ne ad verilir?,Puck,Top,0.260,0
0302e66e-aa59-4044-b5eb-d76752ed1929,muzik,4,Bill Haley & His Comets'in rock and roll'un ilk büyük hitlerinden sayılan 1954 şarkısı han,Rock Around the Clock,Rock Around the Clock,0.480,0
0313b2af-3b21-4e7a-8f0b-9f847e6c1ab9,cografya,3,Muson iklimini oluşturan temel etken nedir?,Kara-deniz ısınma farkı,Kara-deniz ısınma farkı,0.720,0
0325ecc8-dced-4940-abe4-64dacc37c09e,genel_kultur,4,Kazakistan'ın en kalabalık şehri hangisidir?,Almatı,Almatı,0.810,1
031649bd-5e02-4bb6-82db-c19c2a0dcbf6,spor,3,Pelé'nin ilk Dünya Kupası'nı kazandığı 1958 turnuvası hangi ülkede düzenlendi?,İsveç,İsviçre,0.140,0
0327b3dd-93d0-4fd6-8d22-429c845f7f39,edebiyat,3,'Karanlığın Yüreği' romanının yazarı kimdir?,Joseph Conrad,Rudyard Kipling,0.360,0
0327666f-86fd-4dc8-a0ed-da86f00e65fa,cografya,3,Akarsuların oluşturduğu derin ve dar vadiye ne denir?,Kanyon,Delta,0.140,0
03289b6f-e1be-44d9-a412-5d8df775af68,teknoloji,4,'A/B testi' ne yapar?,İki sürümü karşılaştırır,Yedek kopya alıp saklar,0.230,0
03274015-30c8-4646-8e4a-7cbf2a53951a,cografya,3,Beyşehir Gölü hangi ilimizin sınırlarındadır?,Konya,Antalya,0.260,0
03313322-9db4-4b15-b68c-842e1ad4fb21,teknoloji,2,Veri tabanı ne için kullanılır?,Veriyi düzenli saklayıp sorgulamak,Veriyi düzenli saklayıp sorgulamak,0.690,0
03313f6b-f6d0-49fb-b3e7-795dc179680b,teknoloji,3,Anakart ne işe yarar?,Parçaları birbirine bağlar,Parçaları birbirine bağlar,0.760,0
0332b4a1-7384-412a-9fcd-7b6254643473,muzik,5,Tanburi Cemil Bey'in müzisyen olan oğlu kimdir?,Mesut Cemil,Refik Fersan,0.190,0
033a8df4-ba60-44e3-a28a-2380d6731887,genel_kultur,3,Antik Yunan'da şehir devletlerine ne denirdi?,Polis,Agora,0.190,0
03361025-e5f3-45d4-b544-68637573f6c6,cografya,2,Vezüv Yanardağı hangi ülkede bulunur?,İtalya,Türkiye,0.150,0
