id,kategori,jev_egilim,guven,soru,dogru
42de67fe-f626-4ddc-9aff-01a6b7b77965,cografya,evrensel,0.31,Teraslama hangi soruna karşı yapılır?,Erozyon
a944ca41-6a2d-4c11-818c-2e4ef7ad9284,cografya,yerel,0.31,Yayla yerleşmelerinin kullanım amacı nedir?,Yaz otlatması
81ccceeb-0c3e-4e42-8611-8aaedb762ec9,cografya,evrensel,0.32,Kültür balıkçılığında en çok yetiştirilen tür hangisidir?,Levrek ve çipura
8db8c5de-3efb-4a9f-85f6-f64d17d73fcb,cografya,yerel,0.32,Boğazlar'daki üst akıntının yönü nedir?,Karadeniz'den Akdeniz'e
9b1354f1-bd60-4ec3-b715-b37274dfbee7,cografya,evrensel,0.32,Kadastro haritalarının konusu nedir?,Arazi mülkiyet sınırları
30eccaf1-032f-4201-afb6-38f000453ad5,cografya,yerel,0.33,Ege Denizi'ndeki adaların çokluğu neyle açıklanır?,Kıyı dağlarının sular altında kalmasıyla
bf1e095b-ecc6-4154-90cc-ccfe7ff495bb,cografya,yerel,0.34,Meriç Deltası hangi iki ülke arasında paylaşılır?,Türkiye ve Yunanistan
2416da4a-05de-4d31-9c57-be0c5dfcc33d,cografya,yerel,0.36,Boğazların Türkiye için önemi öncelikle nedir?,Jeopolitik ve ticari
fbcffc90-8664-497f-b36a-b2384bd72ded,cografya,evrensel,0.37,Aras Nehri hangi denize ulaşan havzadadır?,Hazar
cf844256-3d0c-42ac-8587-4972575eb0d5,cografya,evrensel,0.38,Müsilaj sorununun temel nedeni nedir?,Aşırı besin kirliliği ve ısınma
1db4254c-d3aa-4ad2-a97e-9381fdfddf2d,cografya,evrensel,0.39,Organize sanayi bölgelerinin amacı nedir?,Sanayiyi planlı bir alanda toplamak
c60ca5e6-9738-47a6-991e-7ab9d1b4f1f2,cografya,yerel,0.39,Türkiye'de step alanlarının ağaçlandırılmasında hangi tür tercih edilir?,Kurağa dayanıklı türler
6970dd56-a1fb-45a2-bd34-a9006197c520,cografya,evrensel,0.40,Nadas uygulaması hangi amaçla yapılır?,Toprağın nem ve verim kazanması
7143914b-b7ff-4ced-99e2-90319a43ad52,cografya,evrensel,0.40,Karadeniz ikliminin belirgin özelliği nedir?,Her mevsim yağışlı olması
5d45b333-a941-4e15-85d7-b56be1f5c8a7,cografya,yerel,0.41,Türkiye'de şeker pancarı hangi sanayi koluyla ilişkilidir?,Şeker fabrikaları
1b6080cb-1de9-4621-8768-49fc80653a4a,cografya,evrensel,0.42,Obruk nedir?,Karstik çukur
e7e4ce4a-e1da-4db1-b6a0-14d8b67aff2e,cografya,yerel,0.42,Kızılçam ağacı hangi iklim bölgesinde yaygındır?,Akdeniz
bd2d80c9-a170-49b5-a8d9-9dde5e6270a6,cografya,yerel,0.43,Van kedisinin ayırt edici özelliği nedir?,İki farklı renkte göz
9fe2a1e2-f5f9-41a7-8b60-061920298288,cografya,yerel,0.46,Türkiye'de kış yağışlarının baskın olduğu iklim tipi hangisidir?,Akdeniz iklimi
1b0f6555-9612-4cd9-8eff-1a02959d815e,cografya,evrensel,0.47,Denizden yüksekliğe göre en yüksek yerleşim türü hangisidir?,Yayla
0e129fdf-a99c-46e1-8f96-58e8c43775dd,cografya,yerel,0.48,Antiochia hangi kentin antik adıdır?,Antakya
7881f712-b5cf-44a4-b1bf-93f707e9d0fd,cografya,yerel,0.48,Kuş göçlerinde Boğazlar'ın önemi nedir?,Göç yolu üzerinde geçiş noktası olması
f672d030-0096-4e82-addf-c849aa280130,cografya,yerel,0.49,Ege'de kıyıdan iç kesime doğru yağışın azalmasının nedeni nedir?,Denizellik etkisinin azalması
3c66ba43-290b-452f-893b-5333207ec1a3,cografya,yerel,0.50,Anadolu leoparının durumu nedir?,Nesli ciddi tehlike altında
094b692a-fab7-4654-9468-787044f6d1c6,cografya,evrensel,0.51,Türkiye'de tarım alanlarının amaç dışı kullanımı neye yol açar?,Verimli toprak kaybına
3cd83aa1-6251-4292-b43b-06c6e425ad6f,cografya,evrensel,0.51,Kafkasya'da Türkiye'ye komşu olan ülkelerden biri hangisidir?,Gürcistan
2d897c5c-d113-4e57-afdb-e285076f171c,cografya,yerel,0.52,Marmara Denizi'ni Ege'ye bağlayan boğaz hangisidir?,Çanakkale Boğazı
764d225f-bcb0-414e-a0c9-dd2d0e9d2355,cografya,yerel,0.52,Türkiye'nin deprem riskinin yüksek olmasının sebebi nedir?,Aktif fay kuşağında olması
4403a40a-ba75-4f29-a53f-e4a2b4af7033,cografya,yerel,0.57,Asi Nehri hangi ilimizden Akdeniz'e ulaşır?,Hatay
9582bf01-054f-468d-bb2c-97f6f6237cce,cografya,yerel,0.57,Türkiye'de tarımın makineleşmesi hangi sonucu doğurmuştur?,Kırdan kente göçün artması
b5580643-dfd9-4d9e-81ea-361d58ef7452,cografya,evrensel,0.57,Kentsel donatı alanı neyi kapsar?,"Okul, park, sağlık gibi kamusal alanları"
6e6fe042-7b4b-433e-88c9-9f616b2f009a,cografya,evrensel,0.58,Mera ıslahının amacı nedir?,Otlak verimini ve örtüyü iyileştirmek
3f824394-7528-4d23-a100-3dcd1be89f90,cografya,evrensel,0.59,Karadeniz'in tuzluluk oranının Akdeniz'den düşük olmasının nedeni nedir?,Bol akarsuyla beslenmesi
81b1a134-181b-44c6-ade2-fd5b412f27ca,cografya,evrensel,0.59,Kıyı yerleşmelerinde 'meltem' hangi rahatlığı sağlar?,Yaz sıcağını hafifletmesi
b237b24b-3389-46e6-bb94-03855399b044,cografya,yerel,0.59,Türkiye'nin en kuzeydeki kara sınırı hangi ülkeyledir?,Gürcistan
0ae03ee4-e36a-4f88-8f60-e4734b44f39d,cografya,yerel,0.60,Yayla yerleşmesi hangi ekonomik faaliyete bağlıdır?,Hayvancılık
f14364ae-5255-469d-931b-e442ebd4413a,cografya,yerel,0.60,Nahçıvan üzerinden Türkiye hangi ülkeyle sınır komşusudur?,Azerbaycan
fcc3a668-5b3c-4a38-80a1-484e8ac43bf2,cografya,evrensel,0.60,Meltem rüzgârları hangi zaman ölçeğinde yön değiştirir?,Günlük
7bbd4253-27b8-41a5-a80f-0eebb4ca2f75,cografya,evrensel,0.61,Deprem yönetmeliğinin amacı nedir?,Yapıların dayanımını güvenceye almak
e53a53a5-4661-46b9-9dcd-8e43fc9b4209,cografya,yerel,0.64,Çanakkale Boğazı hangi iki denizi birbirine bağlar?,Marmara ve Ege
4f99f7fe-f0ac-4e5a-85ee-5de068ef055a,cografya,evrensel,0.65,Set gölü nasıl oluşur?,Vadinin bir engelle kapanmasıyla
566660f2-5db3-41e8-a7c6-83d2697632c6,cografya,evrensel,0.66,Türkiye'de güney yamaçların tarımda erken ürün vermesinin nedeni nedir?,Daha fazla güneş alması
5d6f0d69-8b04-4564-a842-6fa245532ecb,cografya,evrensel,0.66,İmar planı neyi belirler?,Arazi kullanım kararlarını
0fb95653-aff2-4cf5-b7f0-9e5999cb9a96,cografya,yerel,0.67,Türkiye'nin ortalama yükseltisinin fazla olmasının sonucu nedir?,Sıcaklığın düşük olması
430095a0-4f8e-4283-befc-3bbdc1d8a5e1,cografya,yerel,0.67,Türkiye su kaynakları bakımından nasıl tanımlanır?,Su azlığı yaşayan ülke
2439b88d-c0fc-4f7f-9ea5-3d3fcc354e1d,cografya,yerel,0.68,Türkiye'nin dağlık ve engebeli olmasının ulaşıma etkisi nedir?,Yol maliyetini artırması
6b8cfd1a-7b8c-470f-b23d-9221e25093a4,cografya,yerel,0.68,Türkiye'de lif bitkisi olarak öne çıkan ürün hangisidir?,Pamuk
af4146d2-9e1b-47dc-a5f6-1ccac743b943,cografya,yerel,0.68,Türkiye'de kırsal nüfusun azalmasının temel nedeni nedir?,Kente göç
b8d1ac79-60da-4ec2-af8c-c3cdbaf7fc90,cografya,evrensel,0.68,Kışın Akdeniz'e yağış getiren sistem hangisidir?,Gezici alçak basınçlar
19e472ec-4678-443e-9dbb-be0eb5356e7e,cografya,evrensel,0.69,Fırat ve Dicle nehirleri hangi denize/körfeze dökülür?,Basra Körfezi
6c55cbee-1f85-4015-a18e-0d8b3dc678b8,cografya,yerel,0.69,Türkiye'de sulak alanların azalmasının başlıca nedeni nedir?,Kurutma ve aşırı su çekimi
94675947-c486-4714-83fc-841d9755946f,cografya,yerel,0.70,Türkiye'de aktif fay hattı deyince akla gelen kuşak hangisidir?,Kuzey Anadolu Fay Hattı
10bdb9b2-e6a0-483b-9afe-a68823f2c615,cografya,yerel,0.71,Türkiye'de krom madeninin önemi nedir?,Dünya üretiminde söz sahibi olması
20df9a12-79cd-4fb2-9ace-c45c8939445c,cografya,yerel,0.71,Türkiye'de karaca ve yaban keçisi hangi ortamda yaşar?,Dağlık ve ormanlık alanlarda
8cd67629-6ac7-49b2-9ff6-ad2bc30fa31c,cografya,yerel,0.71,Karadeniz kıyısında kışların ılık geçmesinin nedeni nedir?,Deniz etkisi
0e98e389-25f5-463a-bf07-8182a0dfe345,cografya,evrensel,0.72,Aral Gölü'nün küçülmesinin başlıca nedeni nedir?,Nehirlerin sulamaya çevrilmesi
ae0b916e-64a3-47f1-878d-818121d98b5a,cografya,yerel,0.72,Türkiye'nin boylam aralığı hangisidir?,26-45 doğu
a8e73d9f-f38a-411d-8f0f-5075dc6384aa,cografya,evrensel,0.73,Elbruz Dağı hangi sıradağdadır?,Kafkaslar
d49905d2-0ab3-4f08-9241-38dd87f3b1d2,edebiyat,evrensel,0.01,Teşbih (benzetme) sanatı neye dayanır?,İki şeyin ortak yönle eşlenmesine
f7e1db2c-00a6-4415-8fa0-a3b31a3b5066,edebiyat,yerel,0.03,'Makale' hangi özelliğiyle denemeden ayrılır?,Kanıtlamaya dayanmasıyla
fd59272a-37d0-4ef8-92e2-4d963a4d7ffa,edebiyat,yerel,0.04,'Mektup' türü hangi özelliğiyle belgeye dönüşür?,Gerçek kişilere yazılmasıyla
1021258e-3201-418f-a544-4f113f179df1,edebiyat,yerel,0.05,'Düz uyak' nasıl dizilir?,aabb
a5e78ffa-2195-45c2-be92-851fcf2a6b01,edebiyat,evrensel,0.05,'İmge' şiirde ne yaratır?,Zihinde canlanan tasarım
726ed38e-9c2b-4e75-a3fb-1afc11b0e2ef,edebiyat,evrensel,0.06,Bir metnin dil ve anlatım özelliklerine ne denir?,Üslup
43c8f070-f092-41b8-aa9e-a3b3d3e2049d,edebiyat,evrensel,0.07,Rubai kaç dizeden oluşur?,4
462a2b4d-d343-4db4-a2f9-9c4a5b705101,edebiyat,yerel,0.07,'Deyim aktarması' hangi türdendir?,Mecaz
91ab159c-a0d7-4fd3-a033-eb3477fb6767,edebiyat,yerel,0.07,Zarf (belirteç) neyi niteler?,Eylemi veya sıfatı
808cce7d-a155-45f7-b66e-cde43cb39417,edebiyat,evrensel,0.08,'Durum öyküsü' neyi öne çıkarır?,Anı ve atmosferi
52df7797-459f-4670-a431-ca9252fcf576,edebiyat,yerel,0.10,Deneme türünün özelliği nedir?,Kişisel görüşü serbestçe anlatması
e58c6dd8-8383-4f0d-b284-f4820f5ad80b,edebiyat,evrensel,0.10,'Anlatmaya bağlı' türlere örnek hangisidir?,Roman
b3da57a7-1814-4a48-b34d-1d51d247fa93,edebiyat,evrensel,0.11,'Toplumcu gerçekçilik' neyi merkeze alır?,Toplumsal sorunları
d322bc54-c280-47bd-a750-dbf6fe9605d3,edebiyat,yerel,0.11,Karşıt kavramların bir arada kullanılmasına ne denir?,Tezat
1609a497-0d94-425b-8d6a-4c01bdde486c,edebiyat,evrensel,0.12,'Öyküleme' neyi aktarır?,Olayların akışını
21972db9-5c60-48d8-a5ae-524f1627214a,edebiyat,evrensel,0.12,Bir yazarın tüm eserlerine ne denir?,Külliyat
1e50c3ed-d2c9-4792-9683-15da79f2c50b,edebiyat,yerel,0.13,'Tartışma' anlatım biçiminde ne yapılır?,Karşı görüş çürütülür
4a010c85-5142-4269-bd3b-989b9d69bbaa,edebiyat,evrensel,0.13,Anlatım bozukluğunun yaygın nedeni nedir?,Gereksiz sözcük kullanımı
e7be97a6-906a-4a8f-9491-eea0644acbe5,edebiyat,evrensel,0.14,'Şehname' adlı destanın yazarı kimdir?,Firdevsi
74070648-a64e-445d-86cf-cad9e340e867,edebiyat,yerel,0.15,Uzak yerlerin anlatıldığı yazı türü hangisidir?,Gezi yazısı
d23ed043-6fb3-4b90-9339-81dd3fc67b94,edebiyat,evrensel,0.15,Tevriye sanatı neye dayanır?,Bir sözün iki anlamının kullanılmasına
44cf684e-cb1f-400b-b40b-41fc9e561fd1,edebiyat,evrensel,0.16,Teşhis sanatı neyi yapar?,İnsan dışı varlığa insan özelliği verir
1419f208-bd81-4d3a-8813-190f3f793705,edebiyat,evrensel,0.17,'Mektup' türünde temel öge nedir?,Belirli bir muhataba seslenme
1dcc1f5f-8d10-450b-bc47-3fc53aa25113,edebiyat,yerel,0.17,Cümlenin temel öğesi hangisidir?,Yüklem
5993f505-f11a-48e7-b01c-f69d8d7576a4,edebiyat,evrensel,0.18,'Öyküleme' hangi ögeyi öne çıkarır?,Olayların akışını
b3746ab8-da10-4e04-8af5-02ef2d4b4c2e,edebiyat,yerel,0.18,'Bent' şiirde neyi ifade eder?,Dize kümesini
84638baf-2012-4bef-aedf-edc1d83b88a7,edebiyat,yerel,0.19,'Üstkurmaca' nedir?,Metnin kurmaca olduğunu göstermesi
3f2472f3-4707-440c-84b6-57a517d3268b,edebiyat,evrensel,0.20,Romanda 'kişi kadrosu' neyi anlatır?,Karakterlerin bütününü
5bced05f-78af-4901-8d5c-90eca60847a1,edebiyat,yerel,0.20,'Telmih' sanatı ne yapar?,Bilinen olay veya kişiye gönderme yapar
6a33315c-b036-4962-a98d-07c1e94aea82,edebiyat,yerel,0.20,Manas Destanı hangi Türk topluluğuna aittir?,Kırgız
7682c116-3d39-46db-82db-720c842f6da4,edebiyat,yerel,0.21,'Telmih' sanatı neye gönderme yapar?,Bilinen bir olay ya da kişiye
59aba97e-e0bd-4056-bbec-0700f1e60ea9,edebiyat,evrensel,0.22,Bir şiirde dize sonlarındaki ses benzerliğine ne denir?,Kafiye (uyak)
0d596711-117c-4741-8021-7803aa0379a0,edebiyat,yerel,0.23,'Açıklama' anlatım biçimi neyi hedefler?,Bilgi vermeyi
2b4954da-ccb5-49ee-bdb3-dd9745edf44f,edebiyat,evrensel,0.23,Halk hikâyesi ile destan arasındaki fark nedir?,Halk hikâyesinin daha gerçekçi olması
de6cc6ff-fae0-4217-9a29-b0b9e24c4e0c,edebiyat,evrensel,0.23,'Kolofon' el yazmasında neyi bildirir?,İstinsah bilgilerini
7aa09491-965a-459b-affd-6a5fd5e0e30f,edebiyat,evrensel,0.24,Mektup türünün edebiyattaki yeri nedir?,Edebî mektuplar tür sayılır
f6ffcc05-fadc-43f9-956a-dee0f7f14237,edebiyat,evrensel,0.24,Edebî metinlerde çağrışım gücü yüksek dile ne denir?,Yan anlamlı dil
1b1540b9-81df-465f-ae70-ee0f72f617f6,edebiyat,evrensel,0.25,'Gezi yazısı' neyi aktarır?,Görülen yerleri ve izlenimleri
313fbac2-7146-461b-aa32-3a79770e9287,edebiyat,evrensel,0.25,'Didaktik şiir' ne amaçlar?,Öğretmeyi
441ade3b-3171-4cd4-842e-9ce02d24e485,edebiyat,evrensel,0.25,'Mecaz anlam' neye dayanır?,Gerçek anlamın dışına çıkmaya
41e91dbf-f948-4c23-9b96-cdd4c6ce1573,edebiyat,evrensel,0.26,Benzetmede kendisine benzetilen öğeye ne denir?,Benzetilen
0c2694ad-9934-4c7e-b2f7-6a516caa9afd,edebiyat,yerel,0.27,Denemenin en belirgin özelliği nedir?,Kişisel düşüncenin serbestliği
61848691-af19-4a6f-a4a1-679645c363c1,edebiyat,evrensel,0.27,Asonans nedir?,Ünlü seslerin yinelenmesi
8477f9a5-2a61-4c98-8720-308b4ec743a5,edebiyat,evrensel,0.27,Aynı sesin şiirde tekrarına ne denir?,Aliterasyon
22b837ec-c1be-4294-baf4-dcb6d1c765ef,edebiyat,yerel,0.28,'Yergi' (hiciv) neyi hedefler?,Eleştirip alaya almayı
7adfea42-735a-4823-b21e-ed5fac4b1a34,edebiyat,yerel,0.29,Özne ile yüklem uyumu neyi gerektirir?,Kişi ve sayı bakımından uyuşmayı
95a60b6c-65a0-4e79-a099-2e7531f1d4c6,edebiyat,yerel,0.30,"""Benim Adım Kırmızı"" romanı hangi sanat dalını konu alır?",Minyatür
07dcf573-65dd-49a1-a088-deda9f4c7762,edebiyat,evrensel,0.31,'İzlek' (tema) neyi ifade eder?,Metnin temel düşüncesini
5b972809-503d-47ca-ad65-60cd4e8015fa,edebiyat,evrensel,0.31,'Olay öyküsü' neye dayanır?,Serim düğüm çözüm yapısına
739eb00f-532b-40ba-a069-70bf5b7d935d,edebiyat,evrensel,0.32,'Anı' türünde anlatılan nedir?,Yaşanmış olaylar
84e35851-58bd-45a1-b47b-53d863232edf,edebiyat,yerel,0.32,Şiirde 'ahenk' neyle sağlanır?,"Ölçü, kafiye ve ses yinelemeleriyle"
af7370ff-dee9-4971-828d-313c6fdf198c,edebiyat,evrensel,0.32,'Rubai' hangi uyak düzenine sahiptir?,aaxa
cc11949c-b765-4c0a-bb8e-0cf2a2f1a44a,edebiyat,evrensel,0.32,"Olayları oluş sırasıyla anlatan, kişi-yer-zaman içeren yazı türü hangisidir?",Hikaye
e5bdd987-206e-45da-9669-ea845ce3e61b,edebiyat,yerel,0.32,İki şeyin benzerlik yönünden karşılaştırılmasına ne denir?,Benzetme
fae6c08b-cc6e-4cfc-8197-331e96e2f706,edebiyat,yerel,0.33,'Duraklama' anlatıda neyle oluşur?,Betimleme ile
7c0051f8-0fce-4423-a070-cf01f587c657,edebiyat,evrensel,0.35,'Toplumcu eleştiri' hangi açıdan bakar?,Toplumsal koşullardan
06f1bfc3-dc9f-48ed-aae7-7b800e4b5600,edebiyat,yerel,0.36,'Günce' (günlük) türünde zaman nasıldır?,Tarih düşülerek yazılır
1ea85cc8-306a-4364-8375-ab51aacab775,edebiyat,yerel,0.36,'Deyim' hangi özelliğe sahiptir?,Kalıplaşmış mecazlı anlatım
4601fd6f-5a24-4fe9-98e9-d7d35c092745,edebiyat,yerel,0.37,'Anlatım bozukluğu' neden kaynaklanır?,Yapı veya anlam hatasından
bdbe463e-5522-4415-8973-7ba3244536c6,edebiyat,evrensel,0.37,'Tenkitli basım' neyi sunar?,Nüshalar karşılaştırılmış metni
d5bdd378-e116-4aa5-aa69-bb3dc3129aa2,edebiyat,yerel,0.37,Ad aktarması (mecaz-ı mürsel) neye dayanır?,Parça-bütün ilişkisi
2577c31c-9ffb-4e85-bfd5-a30b229be389,edebiyat,yerel,0.38,'Zengin kafiye' nasıl tanımlanır?,Üç ve daha çok ses benzerliği
c6bb4866-ffd6-41fb-bbf0-7ba96ac86d16,edebiyat,yerel,0.38,Türkçenin yapı bakımından hangi dil grubunda yer aldığı kabul edilir?,Eklemeli diller
cba03f9b-b67c-4694-9ec9-9043601de72d,edebiyat,evrensel,0.38,On dört dizeden oluşan şiir biçimi hangisidir?,Sone
480d85e7-6387-412a-90cc-5a3f012b03af,edebiyat,yerel,0.39,'Sohbet' türünün dili nasıldır?,Samimi ve konuşma havasında
8f169b3d-34fd-44b6-ae39-11e202d4216a,edebiyat,evrensel,0.39,Romanın olay dışı bölümlerinde kullanılan anlatım tekniği hangisidir?,İç konuşma
04775870-139c-404f-864e-2810d328f2eb,edebiyat,evrensel,0.40,Sone nazım biçimi kaç dizeden oluşur?,On dört
1980eb75-af69-4eb4-9390-4b955e7d43fd,edebiyat,evrensel,0.40,Romanda 'çevre' unsuru neyi kapsar?,Mekân ve toplumsal ortamı
54195688-096e-4fa2-97ae-fb2708260010,edebiyat,evrensel,0.42,'Yazınsal dil' gündelik dilden nasıl ayrılır?,Sapmalar ve yoğunlukla
7ca77966-9d4e-4e89-bc57-f3bc9f7ee6ad,edebiyat,evrensel,0.43,'Diyalog' metinde ne sağlar?,Karakterleri konuşturarak canlılık
8076d272-d5d9-4ca5-9246-12c2e778133f,edebiyat,yerel,0.43,'Gülistan' adlı yapıtın yazarı kimdir?,Sadi
be355ee8-1d1a-4d6d-be63-1214679dd823,edebiyat,evrensel,0.43,Sözcüklerin gerçek anlamı dışında kullanılmasına ne denir?,Mecaz
d3fab47f-a43e-4b06-80fa-b13e88adde9b,edebiyat,yerel,0.43,'Dolaylama' ne yapar?,Bir kavramı birden çok sözcükle anlatır
1a10fcf4-da8f-4238-a8a4-d115cfa56afd,edebiyat,evrensel,0.45,'Masal' hangi ögeyi barındırır?,Olağanüstülüğü
3504a7b2-3753-4ace-bb95-47a6c99f91b1,edebiyat,yerel,0.45,'Mantıku't-Tayr' kime aittir?,Feridüddin Attar
35c6b79e-6655-4505-96ed-5153149e48d2,edebiyat,evrensel,0.45,'Sone' kaç dizelik bir biçimdir?,On dört
4c39c2ad-9ee2-48f3-94ab-f2ba390b0978,edebiyat,evrensel,0.45,'Betimleme' neyi yapar?,Görüntüyü sözle canlandırır
4d5bbfbf-218e-42fe-ba2e-a0ec73ffb5aa,edebiyat,yerel,0.45,Atasözünün özelliği nedir?,Kalıplaşmış ve öğüt verici olması
5165aeca-5d03-4094-9201-b26bdfdab593,edebiyat,yerel,0.45,"""Sobayı yaktık"" cümlesinde hangi sanat vardır?",Ad aktarması
58dec42b-e9c1-483a-b2ac-ab84a59139bc,edebiyat,evrensel,0.45,'Masal' türünün zaman özelliği nedir?,Belirsiz zaman
a2cddbc1-f000-4a7e-8042-50e69220ffbe,edebiyat,yerel,0.45,Şehnamenin yazarı kimdir?,Firdevsi
744ceae2-7e3f-45cf-ab2e-ecff3ae952a5,edebiyat,yerel,0.46,'Atasözü' ile 'deyim' arasındaki temel fark nedir?,Atasözü yargı bildirir
d49053e2-6515-4ad4-b729-c95a6bbab278,edebiyat,evrensel,0.48,Roman kişilerinden olayı sürükleyene ne denir?,Başkişi
f6238189-5f73-493b-a7be-9d81bc58b411,edebiyat,evrensel,0.49,'Öznel anlatım' hangi ögeyi taşır?,Kişisel değerlendirmeyi
3109c695-fd11-406c-8a31-74efb82befd4,edebiyat,evrensel,0.50,Anı (hatıra) türü neye dayanır?,Yazarın yaşadıklarına
f31c0153-ed23-45bd-b702-19aa3d6bfefc,edebiyat,evrensel,0.51,Betimleme neyi anlatır?,Görüntüyü sözle canlandırmayı
434594a7-4e2e-4b05-abc8-e8fa930f9e76,edebiyat,evrensel,0.53,'Üç birlik kuralı' neyi kapsar?,"Yer, zaman, olay"
